freq (Hz),dB20(VF("/vout")/VF("/vin")) (dB)
1.585E6,46.76
1.660E6,46.37
1.738E6,45.97
1.820E6,45.57
1.905E6,45.17
1.995E6,44.78
2.089E6,44.38
2.188E6,43.98
2.291E6,43.58
2.399E6,43.18
2.512E6,42.79
2.630E6,42.39
2.754E6,41.99
2.884E6,41.59
3.020E6,41.19
3.162E6,40.79
3.311E6,40.39
3.467E6,39.99
3.631E6,39.59
3.802E6,39.20
3.981E6,38.80
4.169E6,38.40
4.365E6,38.00
4.571E6,37.60
4.786E6,37.20
5.012E6,36.80
5.248E6,36.40
5.495E6,36.00
5.754E6,35.60
6.026E6,35.20
6.310E6,34.80
6.607E6,34.40
6.918E6,34.00
7.244E6,33.60
7.586E6,33.20
7.943E6,32.80
8.318E6,32.40
8.710E6,32.00
9.120E6,31.60
9.550E6,31.20
10.00E6,30.80
10.47E6,30.40
10.96E6,30.00
11.48E6,29.60
12.02E6,29.20
12.59E6,28.80
13.18E6,28.40
13.80E6,28.00
14.45E6,27.61
15.14E6,27.21
15.85E6,26.81
16.60E6,26.41
17.38E6,26.01
18.20E6,25.61
19.05E6,25.21
19.95E6,24.81
20.89E6,24.41
21.88E6,24.01
22.91E6,23.61
23.99E6,23.21
25.12E6,22.81
26.30E6,22.41
27.54E6,22.02
28.84E6,21.62
30.20E6,21.22
31.62E6,20.82
33.11E6,20.42
34.67E6,20.02
36.31E6,19.63
38.02E6,19.23
39.81E6,18.83
41.69E6,18.43
43.65E6,18.04
45.71E6,17.64
47.86E6,17.24
50.12E6,16.85
52.48E6,16.45
54.95E6,16.05
57.54E6,15.66
60.26E6,15.27
63.10E6,14.87
66.07E6,14.48
69.18E6,14.09
72.44E6,13.69
75.86E6,13.30
79.43E6,12.91
83.18E6,12.52
87.10E6,12.13
91.20E6,11.75
95.50E6,11.36
100.0E6,10.98
104.7E6,10.59
109.6E6,10.21
114.8E6,9.829
120.2E6,9.450
125.9E6,9.074
131.8E6,8.699
138.0E6,8.327
144.5E6,7.957
151.4E6,7.590
158.5E6,7.226
166.0E6,6.865
173.8E6,6.507
182.0E6,6.153
190.5E6,5.803
199.5E6,5.457
208.9E6,5.116
218.8E6,4.779
229.1E6,4.448
239.9E6,4.122
251.2E6,3.802
263.0E6,3.488
275.4E6,3.181
288.4E6,2.881
302.0E6,2.588
316.2E6,2.302
331.1E6,2.025
346.7E6,1.756
363.1E6,1.496
380.2E6,1.245
398.1E6,1.003
416.9E6,770.3E-3
436.5E6,547.7E-3
457.1E6,335.1E-3
478.6E6,132.7E-3
501.2E6,-59.42E-3
524.8E6,-241.1E-3
549.5E6,-412.4E-3
575.4E6,-573.2E-3
602.6E6,-723.6E-3
631.0E6,-863.7E-3
660.7E6,-993.8E-3
691.8E6,-1.114
724.4E6,-1.225
758.6E6,-1.326
794.3E6,-1.419
831.8E6,-1.505
871.0E6,-1.582
912.0E6,-1.654
955.0E6,-1.720
1.000E9,-1.782
1.047E9,-1.842
1.096E9,-1.901
1.148E9,-1.962
1.202E9,-2.028
1.259E9,-2.103
1.318E9,-2.194
1.380E9,-2.307
1.445E9,-2.453
1.500E9,-2.602
